,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,6XP9L7di5JnOc9WaeAW8oe,행복 (Happiness),Red Velvet,JYP,2014-08-01,0.727,0.871,10,-3.099,0,0.158,0.323,6.21e-06,0.725,0.681,121.438,220987
1,41qLzxymjkp0R5vl3REb1S,Be Natural,Red Velvet,JYP,2014-10-13,0.58,0.868,10,-1.195,0,0.316,0.123,0.0,0.302,0.772,178.002,280451
2,5vCuawHQ8Poch1odz9JDpB,Ice Cream Cake,Red Velvet,JYP,2015-03-17,0.58,0.935,9,-3.348,1,0.189,0.0318,0.0,0.0977,0.603,172.023,191440
3,76DhGlPaJ112MHVs1PJMyX,Automatic,Red Velvet,JYP,2015-03-17,0.598,0.604,5,-6.406,0,0.252,0.0996,0.0,0.387,0.707,179.938,210160
4,4lsf2jQG0KVWBpGBISKRZk,Somethin Kinda Crazy,Red Velvet,JYP,2015-03-17,0.72,0.828,0,-3.134,1,0.0408,0.395,0.0,0.114,0.786,104.045,199867
5,4iFbnPMRkgyDcVekYgFsnp,Stupid Cupid,Red Velvet,JYP,2015-03-17,0.699,0.78,11,-3.694,0,0.129,0.0197,0.000119,0.629,0.834,123.041,209013
6,4hZShMUML4tIKWvxa2u7Ne,Take It Slow,Red Velvet,JYP,2015-03-17,0.758,0.583,0,-5.227,1,0.0315,0.199,0.0,0.102,0.345,104.007,211760
7,6z1ycVYyjuc6DsnDe9SKBW,사탕 (Candy),Red Velvet,JYP,2015-03-17,0.554,0.577,4,-5.071,1,0.0346,0.593,0.0,0.178,0.316,135.921,262200
8,64iDjAuWDogVhuoWhKklF9,Dumb Dumb,Red Velvet,JYP,2015-09-09,0.778,0.789,7,-4.297,0,0.0503,0.0334,2.05e-06,0.225,0.799,145.99,202543
9,1LNFbKyhjwOk7eeBUVqvo3,Huff n Puff,Red Velvet,JYP,2015-09-09,0.744,0.892,2,-2.5,1,0.0806,0.0281,0.0,0.0563,0.812,103.988,181379
10,7zevDPGnHofmT4sXeKW7QH,Campfire,Red Velvet,JYP,2015-09-09,0.714,0.721,11,-4.024,1,0.104,0.0315,0.0,0.108,0.455,89.991,196563
11,0ItGyAARjZ8tYxRjcDmgkt,Red Dress,Red Velvet,JYP,2015-09-09,0.763,0.856,0,-4.161,1,0.0419,0.00788,1.43e-05,0.329,0.615,120.001,182301
12,3ts0OSZgdjOP0Uu1DvQK4h,Oh Boy,Red Velvet,JYP,2015-09-09,0.701,0.766,9,-4.542,0,0.0472,0.0176,0.0,0.228,0.366,93.99,188948
13,6f48SDPW5xu6gUsfLaHOZi,Lady's Room,Red Velvet,JYP,2015-09-09,0.742,0.738,5,-4.835,1,0.0379,0.565,0.0,0.305,0.851,107.024,195611
14,7q2qLI13TejYkBr4A5ZhEJ,Time Slip,Red Velvet,JYP,2015-09-09,0.897,0.58,8,-4.996,1,0.0503,0.0422,3.11e-06,0.0578,0.59,99.982,219299
15,6RKpcgjYeiC5crivVGNNrZ,Don't U Wait No More,Red Velvet,JYP,2015-09-09,0.595,0.838,6,-2.273,1,0.235,0.222,0.0,0.0731,0.749,98.946,171403
16,74muMkVdMYoR65lhmdzy13,Day 1,Red Velvet,JYP,2015-09-09,0.645,0.884,1,-2.801,1,0.0968,0.112,0.0,0.179,0.708,171.93,206358
17,1VfZX787b6l88hpvOXcSXp,Cool World,Red Velvet,JYP,2015-09-09,0.747,0.941,9,-2.867,1,0.133,0.0876,0.0,0.0438,0.525,115.002,245589
