,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,6XP9L7di5JnOc9WaeAW8oe,행복 (Happiness),Red Velvet,SM,2014-08-01,0.727,0.871,10,-3.099,0,0.323,6.21e-06,0.725,0.681,121.438,220987,4
1,41qLzxymjkp0R5vl3REb1S,Be Natural,Red Velvet,SM,2014-10-13,0.58,0.868,10,-1.195,0,0.123,0.0,0.302,0.772,178.002,280451,4
2,5vCuawHQ8Poch1odz9JDpB,Ice Cream Cake,Red Velvet,SM,2015-03-17,0.58,0.935,9,-3.348,1,0.0318,0.0,0.0977,0.603,172.023,191440,4
3,76DhGlPaJ112MHVs1PJMyX,Automatic,Red Velvet,SM,2015-03-17,0.598,0.604,5,-6.406,0,0.0996,0.0,0.387,0.707,179.938,210160,4
4,4lsf2jQG0KVWBpGBISKRZk,Somethin Kinda Crazy,Red Velvet,SM,2015-03-17,0.72,0.828,0,-3.134,1,0.395,0.0,0.114,0.786,104.045,199867,4
5,4iFbnPMRkgyDcVekYgFsnp,Stupid Cupid,Red Velvet,SM,2015-03-17,0.699,0.78,11,-3.694,0,0.0197,0.000119,0.629,0.834,123.041,209013,4
6,4hZShMUML4tIKWvxa2u7Ne,Take It Slow,Red Velvet,SM,2015-03-17,0.758,0.583,0,-5.227,1,0.199,0.0,0.102,0.345,104.007,211760,4
7,6z1ycVYyjuc6DsnDe9SKBW,사탕 (Candy),Red Velvet,SM,2015-03-17,0.554,0.577,4,-5.071,1,0.593,0.0,0.178,0.316,135.921,262200,4
8,64iDjAuWDogVhuoWhKklF9,Dumb Dumb,Red Velvet,SM,2015-09-09,0.778,0.789,7,-4.297,0,0.0334,2.05e-06,0.225,0.799,145.99,202543,4
9,1LNFbKyhjwOk7eeBUVqvo3,Huff n Puff,Red Velvet,SM,2015-09-09,0.744,0.892,2,-2.5,1,0.0281,0.0,0.0563,0.812,103.988,181379,4
10,7zevDPGnHofmT4sXeKW7QH,Campfire,Red Velvet,SM,2015-09-09,0.714,0.721,11,-4.024,1,0.0315,0.0,0.108,0.455,89.991,196563,4
